ID	Education	Income	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	Response	Complain	Country	Customer_Age	Customer_Enrollment_Days	Marital_Status_Mapped	Family_Size	MntTotal	TotalPurchases	Num_Accepted	Campaign_Engagement	Cluster	Cluster Category
5740	2n Cycle	25959.0	1	4	2	12	7	5	26	2	1	2	2	6	1	0	Spain	54	4261	1	3	56	7	0	Not Engaged	0	Cluster 1
9595	Graduation	64260.0	1	539	169	816	20	0	30	1	4	5	4	3	1	0	Spain	63	4295	2	2	1574	14	0	Not Engaged	2	Cluster 3
3158	Graduation	32300.0	1	13	3	6	6	5	6	1	1	0	3	8	0	0	Spain	51	4303	2	3	39	5	0	Not Engaged	0	Cluster 1
5114	Master	74806.0	1	670	9	249	0	28	9	2	5	4	5	4	0	0	Australia	59	4318	2	3	965	16	0	Not Engaged	1	Cluster 2
340	Graduation	72967.0	1	158	35	179	0	0	125	2	7	2	8	5	1	0	Germany	54	4322	1	2	497	19	1	Not Engaged	1	Cluster 2
8805	Graduation	48904.0	1	283	10	38	0	13	27	4	7	2	4	8	0	0	USA	64	4335	1	2	371	17	0	Not Engaged	1	Cluster 2
1241	2n Cycle	14796.0	1	13	3	8	7	4	16	2	1	0	3	9	1	0	Germany	40	4411	2	3	51	6	0	Not Engaged	0	Cluster 1
1402	Master	66991.0	1	496	36	460	189	60	12	3	4	8	6	3	0	0	Germany	70	4417	2	2	1253	21	0	Not Engaged	2	Cluster 3
7264	2n Cycle	52195.0	2	12	0	4	0	0	1	1	1	0	2	8	0	0	Saudi Arabia	46	3809	1	4	17	4	0	Not Engaged	0	Cluster 1
1619	Graduation	90369.0	2	292	51	981	224	23	17	1	4	6	6	1	1	0	Spain	68	3823	2	2	1588	17	0	Not Engaged	2	Cluster 3
6398	Basic	18393.0	2	7	10	13	16	0	4	2	3	0	3	8	0	0	Spain	50	3853	2	3	50	8	0	Not Engaged	0	Cluster 1
1857	Graduation	47139.0	2	46	0	12	0	2	23	2	2	1	2	7	1	0	Spain	72	3876	1	3	83	7	0	Not Engaged	0	Cluster 1
4877	Master	38576.0	2	34	0	7	0	0	0	1	1	0	3	7	0	0	India	51	3878	2	3	41	5	0	Not Engaged	0	Cluster 1
3066	PhD	61905.0	2	167	0	43	6	2	13	2	4	2	4	5	0	0	Saudi Arabia	49	3906	2	3	231	12	0	Not Engaged	0	Cluster 1
10286	Graduation	83715.0	2	318	8	407	150	35	8	1	2	8	13	0	0	0	Saudi Arabia	62	3907	2	2	926	24	0	Not Engaged	2	Cluster 3
1992	Graduation	60597.0	2	522	0	257	32	16	66	4	2	2	8	7	1	0	Spain	60	3940	2	3	893	16	1	Not Engaged	1	Cluster 2
4246	Master	6560.0	2	67	11	26	4	3	262	0	1	0	1	17	0	0	Spain	42	3960	1	1	373	2	0	Not Engaged	0	Cluster 1
10623	Master	48330.0	2	28	0	4	0	0	0	1	1	0	3	5	0	0	Spain	63	3987	2	3	32	5	0	Not Engaged	0	Cluster 1
4867	PhD	38236.0	2	58	0	18	2	0	10	4	3	0	4	7	0	0	Spain	56	4043	1	3	88	11	0	Not Engaged	0	Cluster 1
3112	Master	22701.0	2	2	4	9	0	4	5	1	1	0	3	5	0	0	Spain	47	4058	2	3	24	5	0	Not Engaged	0	Cluster 1
4865	Master	53367.0	2	229	7	140	10	3	11	7	5	1	8	7	1	0	Australia	50	4063	1	3	400	21	0	Not Engaged	1	Cluster 2
6287	Graduation	34728.0	2	14	0	16	0	0	6	1	1	1	2	6	1	0	Spain	38	4095	2	3	36	5	0	Not Engaged	0	Cluster 1
4405	Master	63915.0	2	622	7	115	30	0	15	2	6	3	12	5	0	0	Australia	68	4095	2	4	789	23	0	Not Engaged	1	Cluster 2
5332	2n Cycle	82504.0	2	362	50	431	134	35	54	1	3	6	7	1	0	0	India	64	4098	2	2	1066	17	0	Not Engaged	2	Cluster 3
1519	PhD	38578.0	2	38	4	22	3	3	3	3	3	0	3	8	1	0	Spain	52	4133	1	3	73	9	0	Not Engaged	0	Cluster 1
9080	PhD	38578.0	2	38	4	22	3	3	3	3	3	0	3	8	0	0	Spain	52	4133	1	3	73	9	0	Not Engaged	0	Cluster 1
1772	PhD	79174.0	2	1074	37	518	193	92	129	1	5	6	7	2	1	0	Canada	49	4295	2	2	2043	19	2	Moderately Engaged	2	Cluster 3
5341	2n Cycle	81975.0	2	983	76	184	180	138	27	1	6	3	4	7	0	0	Saudi Arabia	62	4301	1	2	1588	14	1	Not Engaged	2	Cluster 3
5510	Master	43263.0	2	262	6	61	0	10	102	3	5	2	6	5	0	0	Spain	47	4346	2	3	441	16	0	Not Engaged	1	Cluster 2
3887	Graduation	27242.0	2	3	17	26	20	1	39	2	2	0	3	9	1	0	India	54	4356	1	2	106	7	0	Not Engaged	0	Cluster 1
7022	Graduation	76445.0	2	739	107	309	140	80	35	1	2	5	13	6	0	0	Saudi Arabia	53	4400	2	3	1410	21	0	Not Engaged	2	Cluster 3
9999	Graduation	75276.0	2	610	105	125	137	42	21	1	9	4	9	5	0	0	Spain	59	4401	2	2	1040	23	0	Not Engaged	2	Cluster 3
10352	Graduation	34213.0	2	50	4	28	6	3	26	3	3	1	2	9	1	0	Saudi Arabia	61	4421	1	3	117	9	0	Not Engaged	0	Cluster 1
7919	PhD	72335.0	2	1285	105	653	28	21	0	1	10	4	8	8	1	0	Spain	48	4446	2	2	2092	23	0	Not Engaged	2	Cluster 3
4114	Master	79143.0	2	650	37	780	27	167	32	1	6	9	13	3	0	0	Australia	60	4448	2	2	1693	29	0	Not Engaged	2	Cluster 3
7990	Graduation	27469.0	2	9	1	2	3	2	0	1	0	0	3	6	0	0	Canada	77	4457	2	2	17	4	0	Not Engaged	0	Cluster 1
9888	Graduation	68695.0	3	458	81	356	106	50	40	1	4	4	7	2	0	0	Spain	55	3765	2	2	1091	16	0	Not Engaged	2	Cluster 3
4399	Graduation	68695.0	3	458	81	356	106	50	40	1	4	4	7	2	0	0	Canada	55	3765	2	2	1091	16	0	Not Engaged	2	Cluster 3
4452	Graduation	50388.0	3	292	6	37	0	3	34	4	6	1	6	7	1	0	Germany	67	3793	1	2	372	17	2	Moderately Engaged	1	Cluster 2
4785	PhD	77622.0	3	520	7	154	19	0	14	2	6	3	11	3	0	0	Saudi Arabia	54	3837	2	4	714	22	0	Not Engaged	1	Cluster 2
8461	Graduation	46102.0	3	14	0	1	0	0	1	1	1	0	2	7	0	0	Spain	62	3872	1	4	16	4	0	Not Engaged	0	Cluster 1
3878	2n Cycle	31859.0	3	3	4	7	15	8	11	1	1	0	3	7	0	0	Spain	44	3883	1	2	48	5	0	Not Engaged	0	Cluster 1
9612	2n Cycle	23830.0	3	1	8	6	4	8	16	1	1	0	3	7	0	0	Spain	37	3903	1	1	43	5	0	Not Engaged	0	Cluster 1
4098	Graduation	24639.0	3	20	3	16	0	4	1	3	2	0	4	6	0	0	Australia	51	3913	2	4	44	9	0	Not Engaged	0	Cluster 1
158	PhD	71604.0	3	345	53	528	98	75	97	1	8	3	5	4	1	0	Spain	79	3985	2	2	1196	17	1	Not Engaged	2	Cluster 3
3896	Graduation	27255.0	3	22	1	11	0	1	2	1	1	0	3	7	0	0	Spain	40	3995	2	3	37	5	0	Not Engaged	0	Cluster 1
9970	Graduation	55375.0	3	42	11	57	10	28	14	1	1	1	6	2	0	0	Canada	47	4016	2	3	162	9	0	Not Engaged	0	Cluster 1
4002	PhD	77037.0	3	463	96	333	168	53	10	1	7	7	12	3	0	0	Spain	64	4020	2	3	1123	27	0	Not Engaged	2	Cluster 3
10914	Graduation	24163.0	3	4	1	7	2	1	2	2	1	0	3	4	0	0	Spain	54	4021	1	3	17	6	0	Not Engaged	0	Cluster 1
7279	PhD	69476.0	3	260	86	559	63	9	67	1	4	6	4	2	0	0	USA	55	4033	2	2	1044	15	0	Not Engaged	2	Cluster 3
10582	Graduation	72063.0	3	180	32	348	76	32	90	2	5	2	12	2	0	0	Germany	45	4122	2	3	758	21	0	Not Engaged	2	Cluster 3
4470	Master	58646.0	3	62	1	44	6	5	22	1	2	1	4	4	0	0	Spain	62	4145	2	3	140	8	0	Not Engaged	0	Cluster 1
6183	Master	58646.0	3	62	1	44	6	5	22	1	2	1	4	4	0	0	Germany	62	4145	2	3	140	8	0	Not Engaged	0	Cluster 1
6379	Master	47570.0	3	67	1	20	0	2	31	3	2	2	2	7	1	0	USA	75	4157	1	3	121	9	0	Not Engaged	0	Cluster 1
8601	Graduation	80011.0	3	421	76	536	82	178	102	2	8	6	5	4	0	0	Australia	44	4187	2	3	1395	21	0	Not Engaged	2	Cluster 3
4827	PhD	54998.0	3	154	22	202	39	30	8	5	4	2	9	4	1	0	Spain	68	4237	1	2	455	20	0	Not Engaged	1	Cluster 2
6715	PhD	60200.0	3	502	19	132	0	6	26	6	6	2	11	6	0	0	Spain	76	4304	1	2	685	25	0	Not Engaged	1	Cluster 2
10676	Graduation	63211.0	3	145	193	459	205	26	145	2	3	8	7	2	1	0	Spain	42	4365	2	2	1173	20	0	Not Engaged	2	Cluster 3
1041	PhD	48432.0	3	322	3	50	4	3	42	5	7	1	6	8	1	0	Saudi Arabia	51	4380	1	2	424	19	0	Not Engaged	1	Cluster 2
492	PhD	48432.0	3	322	3	50	4	3	42	5	7	1	6	8	0	0	Canada	51	4380	1	2	424	19	0	Not Engaged	1	Cluster 2
11133	PhD	48432.0	3	322	3	50	4	3	42	5	7	1	6	8	1	0	India	51	4380	1	2	424	19	0	Not Engaged	1	Cluster 2
4491	Master	62845.0	3	1099	0	45	0	0	34	11	3	4	10	8	0	0	Spain	75	4397	2	4	1178	28	1	Not Engaged	1	Cluster 2
873	Master	62845.0	3	1099	0	45	0	0	34	11	3	4	10	8	1	0	Spain	75	4397	2	4	1178	28	1	Not Engaged	1	Cluster 2
1631	PhD	65220.0	3	890	63	292	0	25	12	4	8	4	7	6	1	0	Germany	59	4425	2	2	1282	23	0	Not Engaged	1	Cluster 2
8278	PhD	74214.0	3	863	83	547	86	99	33	1	8	2	5	5	0	0	Spain	34	4433	2	2	1711	16	0	Not Engaged	2	Cluster 3
6815	2n Cycle	96547.0	4	448	21	125	52	101	62	0	7	6	8	2	1	0	Spain	44	3798	2	2	809	21	3	Moderately Engaged	2	Cluster 3
254	Graduation	53863.0	4	399	4	30	6	4	30	3	7	1	7	7	0	0	Spain	69	3804	2	3	473	18	1	Not Engaged	1	Cluster 2
1349	Graduation	50447.0	4	85	7	24	2	3	27	1	3	1	3	6	0	0	India	54	3830	2	4	148	8	0	Not Engaged	0	Cluster 1
2534	Graduation	37716.0	4	97	1	41	6	2	41	2	4	1	3	7	0	0	Australia	71	3830	2	3	188	10	0	Not Engaged	0	Cluster 1
2130	Graduation	45203.0	4	35	3	67	10	8	24	1	3	1	3	6	1	0	Saudi Arabia	42	3859	2	4	147	8	0	Not Engaged	0	Cluster 1
2296	Master	37368.0	4	3	2	11	2	2	10	1	1	0	2	6	0	0	Spain	49	3956	2	3	30	4	1	Not Engaged	0	Cluster 1
3799	Graduation	67225.0	4	315	35	322	46	7	143	3	7	2	11	5	0	0	USA	69	3976	2	3	868	23	0	Not Engaged	1	Cluster 2
11084	Master	65104.0	4	738	0	232	13	20	50	2	3	5	7	7	1	0	Canada	48	3988	2	3	1053	17	0	Not Engaged	1	Cluster 2
5172	Master	65104.0	4	738	0	232	13	20	50	2	3	5	7	7	0	0	Spain	48	3988	2	3	1053	17	0	Not Engaged	1	Cluster 2
9504	Master	81698.0	4	179	28	520	111	123	47	1	3	8	13	1	1	0	Spain	75	3996	2	2	1008	25	0	Not Engaged	2	Cluster 3
850	Graduation	70566.0	4	381	28	215	84	28	21	2	6	5	9	3	0	0	Spain	56	4027	1	2	757	22	0	Not Engaged	1	Cluster 2
4477	Graduation	69096.0	4	247	49	159	7	82	109	1	5	2	10	4	0	0	Germany	66	4036	2	3	653	18	0	Not Engaged	1	Cluster 2
1945	Graduation	71434.0	4	711	36	217	172	96	168	3	7	4	7	4	0	0	Spain	62	4045	2	3	1400	21	2	Moderately Engaged	2	Cluster 3
7685	Graduation	33039.0	4	30	8	12	8	8	12	1	2	0	4	5	0	0	Spain	46	4054	2	3	78	7	0	Not Engaged	0	Cluster 1
6310	Graduation	33039.0	4	30	8	12	8	8	12	1	2	0	4	5	0	0	Canada	46	4054	2	3	78	7	0	Not Engaged	0	Cluster 1
10832	Graduation	46610.0	4	288	10	30	4	10	125	1	6	1	6	6	0	0	Spain	66	4107	2	2	467	14	0	Not Engaged	1	Cluster 2
3025	Graduation	49967.0	4	212	6	69	4	12	3	3	6	1	5	7	0	0	Canada	66	4117	1	2	306	15	0	Not Engaged	1	Cluster 2
2404	Graduation	53359.0	4	173	4	30	3	6	41	4	5	1	4	7	0	0	USA	48	4159	2	4	257	14	0	Not Engaged	0	Cluster 1
8581	Master	49505.0	4	604	0	100	19	0	28	9	10	2	8	8	0	0	Spain	53	4242	2	4	751	29	0	Not Engaged	1	Cluster 2
8755	Master	68657.0	4	482	34	471	119	68	22	1	3	5	9	7	0	0	Australia	78	4255	2	2	1196	18	0	Not Engaged	2	Cluster 3
10177	Graduation	72071.0	4	531	69	300	150	138	150	3	5	4	8	2	0	0	Spain	70	4261	1	2	1338	20	0	Not Engaged	2	Cluster 3
2429	Graduation	72071.0	4	531	69	300	150	138	150	3	5	4	8	2	0	0	Canada	70	4261	1	2	1338	20	0	Not Engaged	2	Cluster 3
8920	Master	59235.0	4	448	40	469	80	0	91	3	11	2	12	7	0	0	India	57	4294	1	2	1128	28	0	Not Engaged	1	Cluster 2
8430	Graduation	21994.0	4	9	0	6	3	1	3	1	0	0	3	5	0	0	Australia	67	4313	2	3	22	4	0	Not Engaged	0	Cluster 1
8619	Graduation	21994.0	4	9	0	6	3	1	3	1	0	0	3	5	0	0	Spain	67	4313	2	3	22	4	0	Not Engaged	0	Cluster 1
7233	Graduation	69209.0	4	496	32	849	229	48	128	2	5	3	6	4	0	0	Canada	52	4411	2	2	1782	16	1	Not Engaged	2	Cluster 3
6678	Graduation	31928.0	5	33	4	24	4	2	5	2	3	0	4	7	0	0	India	35	3854	2	3	72	9	0	Not Engaged	0	Cluster 1
830	PhD	74004.0	5	784	48	560	42	176	48	1	4	6	4	3	1	0	India	37	3886	1	1	1658	15	2	Moderately Engaged	2	Cluster 3
6365	2n Cycle	30390.0	5	10	12	12	25	1	20	1	2	0	3	6	0	0	India	37	4061	2	2	80	6	0	Not Engaged	0	Cluster 1
6770	Graduation	21355.0	5	5	13	14	0	5	31	2	2	1	2	6	1	0	USA	39	4074	2	3	68	7	1	Not Engaged	0	Cluster 1
2261	Graduation	26304.0	5	4	1	5	2	0	4	1	1	0	2	7	0	0	Germany	55	4132	2	3	16	4	0	Not Engaged	0	Cluster 1
1031	2n Cycle	85710.0	5	600	20	350	29	30	33	1	6	9	10	2	0	0	India	35	4181	2	2	1062	26	1	Not Engaged	2	Cluster 3
10089	Graduation	102692.0	5	168	148	444	32	172	148	1	6	9	13	2	1	0	Saudi Arabia	50	4211	1	1	1112	29	4	Highly Engaged	2	Cluster 3
9256	Graduation	58350.0	5	493	26	206	116	80	80	4	8	3	12	6	0	0	Spain	53	4302	1	2	1001	27	0	Not Engaged	1	Cluster 2
10641	Graduation	7500.0	5	6	5	4	13	4	25	4	2	1	3	6	0	0	Spain	46	4310	1	3	57	10	0	Not Engaged	0	Cluster 1
624	Master	18890.0	5	6	4	1	7	2	15	1	0	1	2	6	1	0	Saudi Arabia	40	4357	1	1	35	4	1	Not Engaged	0	Cluster 1
4211	Basic	20425.0	5	4	12	5	3	16	17	2	2	0	3	7	0	0	Canada	38	4369	2	3	57	7	0	Not Engaged	0	Cluster 1
1407	Basic	20425.0	5	4	12	5	3	16	17	2	2	0	3	7	0	0	Germany	38	4369	2	3	57	7	0	Not Engaged	0	Cluster 1
10356	PhD	41437.0	5	29	0	2	0	0	1	1	1	0	3	7	0	0	Spain	67	4406	1	3	32	5	0	Not Engaged	0	Cluster 1
9323	Master	49912.0	5	520	8	223	32	49	42	4	10	5	7	8	1	0	Mexico	75	4421	2	3	874	26	1	Not Engaged	1	Cluster 2
1146	Master	49912.0	5	520	8	223	32	49	42	4	10	5	7	8	1	0	Australia	75	4421	2	3	874	26	1	Not Engaged	1	Cluster 2
6343	Graduation	79823.0	6	835	73	380	114	73	43	1	6	9	7	2	0	0	Australia	65	3851	2	3	1518	23	1	Not Engaged	2	Cluster 3
8545	Graduation	85683.0	6	1296	17	311	45	69	51	1	2	4	10	1	1	0	Spain	70	3861	1	1	1789	17	4	Highly Engaged	2	Cluster 3
8275	PhD	47025.0	6	16	0	3	0	0	1	1	1	0	2	7	0	0	Spain	59	3901	1	3	20	4	0	Not Engaged	0	Cluster 1
10673	PhD	68397.0	6	760	80	466	17	13	80	1	6	9	5	3	0	0	Saudi Arabia	48	3985	2	3	1416	21	0	Not Engaged	2	Cluster 3
8799	PhD	38175.0	6	70	6	69	2	3	3	3	3	1	4	7	0	0	Spain	40	4040	2	3	153	11	0	Not Engaged	0	Cluster 1
67	Master	46423.0	6	68	0	16	0	0	8	3	2	0	4	7	0	0	Spain	52	4045	1	3	92	9	0	Not Engaged	0	Cluster 1
9923	Master	46423.0	6	68	0	16	0	0	8	3	2	0	4	7	0	0	Spain	52	4045	1	3	92	9	0	Not Engaged	0	Cluster 1
2814	Master	30560.0	6	9	1	5	4	5	7	1	1	0	3	7	0	0	Saudi Arabia	48	4128	2	3	31	5	0	Not Engaged	0	Cluster 1
2711	Master	30560.0	6	9	1	5	4	5	7	1	1	0	3	7	0	0	Canada	48	4128	2	3	31	5	0	Not Engaged	0	Cluster 1
4320	Graduation	60152.0	6	325	83	300	86	58	91	1	6	4	12	3	0	0	Spain	45	4219	1	2	943	23	0	Not Engaged	2	Cluster 3
10451	Graduation	29672.0	6	9	1	3	0	4	8	1	0	0	3	6	0	0	Saudi Arabia	59	4235	2	4	25	4	0	Not Engaged	0	Cluster 1
4198	Graduation	29672.0	6	9	1	3	0	4	8	1	0	0	3	6	0	0	Spain	59	4235	2	4	25	4	0	Not Engaged	0	Cluster 1
10814	Graduation	70321.0	6	303	23	751	82	26	191	1	6	5	13	4	1	0	Spain	77	4290	2	2	1376	25	0	Not Engaged	2	Cluster 3
944	Graduation	56181.0	6	121	103	69	8	44	48	1	4	2	7	4	0	0	Spain	62	4298	2	3	393	14	0	Not Engaged	1	Cluster 2
8151	Basic	24279.0	6	16	36	21	20	62	108	1	4	1	3	8	0	0	Spain	34	4308	2	2	263	9	0	Not Engaged	0	Cluster 1
6184	PhD	68462.0	6	561	64	785	84	128	48	1	3	3	8	1	0	0	Spain	55	4325	2	2	1670	15	0	Not Engaged	2	Cluster 3
3498	PhD	55424.0	6	462	61	184	10	53	107	4	7	5	9	6	1	0	Spain	48	4342	2	3	877	25	1	Not Engaged	1	Cluster 2
2870	Graduation	49094.0	6	376	0	38	11	8	69	5	6	3	6	6	0	0	Spain	51	4407	2	3	502	20	0	Not Engaged	1	Cluster 2
7342	2n Cycle	59184.0	6	341	142	113	259	151	66	3	6	6	12	5	0	0	Spain	63	4419	1	2	1072	27	0	Not Engaged	2	Cluster 3
1911	Graduation	67430.0	6	595	97	291	127	133	121	1	11	5	12	6	0	0	Germany	37	4423	2	2	1364	29	0	Not Engaged	2	Cluster 3
10862	Master	30522.0	6	179	8	83	19	11	26	5	1	2	9	2	0	0	Spain	64	4442	2	3	326	17	0	Not Engaged	1	Cluster 2
2546	2n Cycle	31878.0	7	23	4	5	10	5	23	1	1	0	4	3	0	0	Spain	47	3768	1	2	70	6	0	Not Engaged	0	Cluster 1
3005	Graduation	83528.0	7	530	117	678	134	44	147	1	4	10	8	1	1	0	Spain	32	3820	1	1	1650	23	2	Moderately Engaged	2	Cluster 3
8318	Graduation	90300.0	7	594	134	786	33	134	57	0	5	6	8	1	0	0	Spain	45	3938	2	2	1738	19	1	Not Engaged	2	Cluster 3
2930	Master	68092.0	7	852	60	207	78	36	48	2	2	6	10	5	0	0	Saudi Arabia	46	3956	1	1	1281	20	0	Not Engaged	2	Cluster 3
8216	Master	53761.0	7	158	0	76	13	7	71	6	4	4	3	5	0	0	Australia	52	4022	2	4	325	17	0	Not Engaged	1	Cluster 2
1212	Graduation	52845.0	7	384	25	292	130	41	64	3	8	8	6	6	0	0	Spain	51	4081	2	3	936	25	1	Not Engaged	2	Cluster 3
2541	Graduation	24027.0	7	14	7	11	11	0	5	2	2	0	3	8	0	0	Spain	48	4146	2	3	48	7	0	Not Engaged	0	Cluster 1
